Status,Cases
2020-03-22 10:00,11
2020-03-23 15:00,13
2020-03-24 10:00,15
2020-03-25 10:00,19
2020-03-26 10:00,19
2020-03-27 10:00,20
2020-03-28 10:00,22
2020-03-29 11:00,24
2020-03-30 10:00,25
2020-03-31 11:00,25
2020-04-01 10:00,34
2020-04-02 10:00,39
2020-04-03 11:00,39
2020-04-04 10:00,43
2020-04-05 10:00,45
2020-04-06 10:00,45
2020-04-07 10:00,44
2020-04-08 10:00,49
2020-04-09 10:00,51
2020-04-10 10:00,51
2020-04-11 10:00,57
2020-04-12 10:00,58
2020-04-13 10:00,59
2020-04-14 10:00,60
2020-04-16 10:00,67
2020-04-17 10:00,70
2020-04-18 10:00,70
2020-04-20 10:00,70
