Status,Cases
2020-03-21 08:30:00,195
2020-03-23 07:00:00,226
2020-03-24 06:30:00,230
2020-03-26 07:00:00,285
2020-03-27 07:00:00,333
2020-03-28 09:00:00,335
2020-03-29 10:00:00,402
2020-03-30 07:00:00,426
2020-03-31 07:00:00,457
2020-04-01 07:00:00,502
2020-04-02 07:00:00,562
2020-04-03 07:00:00,608
2020-04-04 10:00:00,657
2020-04-06 06:45:00,690
2020-04-07 06:45:00,704
2020-04-08 07:00:00,732
2020-04-09 07:00:00,795
2020-04-10 10:00:00,812
2020-04-11 10:00:00,835
2020-04-12 09:30:00,849
2020-04-13 10:00:00,857
2020-04-14 06:40:00,862
2020-04-16 06:45:00,877
2020-04-17 06:45:00,889
2020-04-18 10:00:00,908
